model,layer,d_model,norm_w0,norm_w1,norm_diff,norm_w1_over_init,norm_sum,init_over_w1,cos_w1_diff,cos_w0_w1,frac_w1_along_diff,bias_diff
deepseek_qwen,45,5120,3.475551128387451,3.480433225631714,6.907882213592529,6.028287179144963,0.8166438341140747,0.11731927841901779,0.9930945038795471,-0.9724346399307251,0.9862363338470459,-0.012069779448211193
deepseek_qwen,46,5120,3.764638662338257,3.768813371658325,7.489058971405029,6.527776243957186,0.8166438341140747,0.10834230482578278,0.9941139221191406,-0.9764984250068665,0.988262414932251,-0.01117703877389431
deepseek_qwen,47,5120,3.823864221572876,3.8296713829040527,7.609844207763672,6.633185411482384,0.8166437745094299,0.10662060976028442,0.994300127029419,-0.9772306680679321,0.9886326193809509,-0.01064410898834467
deepseek_qwen,48,5120,4.011866569519043,4.017118453979492,7.98734712600708,6.9578532623150195,0.8166438937187195,0.10164548456668854,0.9948208332061768,-0.9793100357055664,0.9896683096885681,-0.011838256381452084
deepseek_qwen,49,5120,4.006433010101318,4.005134582519531,7.969837665557861,6.937096588074993,0.8166437745094299,0.10194960236549377,0.9947894811630249,-0.979219377040863,0.9896062612533569,-0.011333495378494263
deepseek_qwen,50,5120,4.160706996917725,4.1561689376831055,8.27668571472168,7.198695764906706,0.8166437745094299,0.09824477881193161,0.995162308216095,-0.9807174801826477,0.9903479218482971,-0.012241261079907417
deepseek_qwen,51,5120,4.397727966308594,4.396575450897217,8.756304740905762,7.6150920602640255,0.8166441321372986,0.092872753739357,0.9956778883934021,-0.9827538132667542,0.991374671459198,-0.012240931391716003
deepseek_qwen,52,5120,4.616535663604736,4.613251686096191,9.193589210510254,7.990386308421393,0.8166438937187195,0.088510662317276,0.9960752129554749,-0.9843430519104004,0.9921658635139465,-0.012469323351979256
deepseek_qwen,53,5120,5.377099514007568,5.374940395355225,10.720982551574707,9.309669852409598,0.8166438341140747,0.0759677141904831,0.9971103668212891,-0.9884626269340515,0.9942290782928467,-0.01262305025011301
deepseek_qwen,54,5120,6.055023193359375,6.0496087074279785,12.07705307006836,10.478229647176343,0.8166438341140747,0.06749559193849564,0.9977198243141174,-0.9908972978591919,0.9954447150230408,-0.012999053113162518
deepseek_qwen,55,5120,7.195089340209961,7.193254470825195,14.36514949798584,12.459082215241217,0.8166442513465881,0.05676458775997162,0.9983874559402466,-0.9935571551322937,0.9967776536941528,-0.013401785865426064
deepseek_qwen,56,5120,7.937626361846924,7.932051658630371,15.848650932312012,13.738716481008789,0.8166438341140747,0.05147746577858925,0.9986743927001953,-0.9947041869163513,0.9973504543304443,-0.013572579249739647
deepseek_qwen,57,5120,9.444083213806152,9.435049057006836,18.86146354675293,16.341984338640664,0.816644012928009,0.04327714815735817,0.99906325340271,-0.9962582588195801,0.9981276988983154,-0.01436873059719801
deepseek_qwen,58,5120,11.150139808654785,11.142050743103027,22.277225494384766,19.29859798756501,0.8166438341140747,0.036646924912929535,0.9993282556533813,-0.9973159432411194,0.9986571669578552,-0.014605301432311535
deepseek_qwen,59,5120,12.35849380493164,12.350321769714355,24.695322036743164,21.391384794969238,0.8166443109512329,0.03306166082620621,0.9994533061981201,-0.9978156089782715,0.9989070892333984,-0.015222773887217045
deepseek_qwen,60,5120,13.861692428588867,13.85119342803955,27.700855255126953,23.99097076282863,0.8166437745094299,0.02947918511927128,0.9995654225349426,-0.9982636570930481,0.9991310834884644,-0.015113181434571743
deepseek_qwen,61,5120,17.938688278198242,17.92840003967285,35.85779571533203,31.052899767133255,0.8166438937187195,0.02277514711022377,0.9997406601905823,-0.9989635944366455,0.9994813203811646,-0.015868421643972397
deepseek_qwen,62,5120,24.52846336364746,24.514938354492188,49.03659439086914,42.46111877439944,0.8166441917419434,0.016656052321195602,0.9998613595962524,-0.9994453191757202,0.999722957611084,-0.01419772207736969
