model,family,framing,arm,signed_alpha,flip_class,n,behaviour,metric,delta_density,ci_lo,ci_hi
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,comply_both,29,deduction,density_nontest,-0.4407307853601788,-0.9261405897746314,0.08239192967793546
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,comply_both,29,deduction,density_testlex,0.04841679304131419,0.011482792049440414,0.09402551835374792
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,comply_both,29,adding-knowledge,density,0.013176632146710816,-0.3078615553419992,0.3211712698371538
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,comply_both,29,adding-knowledge,density_nontest,-0.03224314043181265,-0.3675679593659722,0.28507534502911797
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,comply_both,29,adding-knowledge,density_testlex,0.045419772578523476,-0.0012542664746392445,0.09735532997335296
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,comply_both,29,example-testing,density,0.046327920306333814,-0.07112009664818751,0.1693811415434667
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,comply_both,29,example-testing,density_nontest,0.016824546575037555,-0.10340839978250223,0.1438213725439345
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,comply_both,29,example-testing,density_testlex,0.029503373731296266,0.0,0.06333857127150795
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,comply_both,29,uncertainty-estimation,density,-0.08489029182622476,-0.2886143768079857,0.09984809040327555
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,comply_both,29,uncertainty-estimation,density_nontest,-0.1271121838369668,-0.32817019395043207,0.06182632162117078
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,comply_both,29,uncertainty-estimation,density_testlex,0.042221892010742015,-0.0037275346786356076,0.09464745611053725
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,comply_both,29,backtracking,density,-0.027238895272968765,-0.1154477196211181,0.05939802212347355
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,comply_both,29,backtracking,density_nontest,-0.027238895272968765,-0.1154477196211181,0.05939802212347355
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,comply_both,29,backtracking,density_testlex,0.0,0.0,0.0
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,refuse_both,85,initializing,density,-0.11011065222935082,-0.18842848141782692,-0.03317791322374188
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,refuse_both,85,initializing,density_nontest,-0.11011065222935082,-0.18842848141782692,-0.03317791322374188
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,refuse_both,85,initializing,density_testlex,0.0,0.0,0.0
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,refuse_both,85,deduction,density,-0.3815967808076216,-0.65169755896838,-0.12785232443993197
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,refuse_both,85,deduction,density_nontest,-0.6475703796648974,-0.9100868754400087,-0.3870027709226355
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,refuse_both,85,deduction,density_testlex,0.2659735988572757,0.1784660086238123,0.3548833580670599
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,refuse_both,85,adding-knowledge,density,0.13491863520397795,-0.03827925126150919,0.3098971570815769
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,refuse_both,85,adding-knowledge,density_nontest,-0.024624033842368744,-0.2046952806821748,0.1562470981317018
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,refuse_both,85,adding-knowledge,density_testlex,0.15954266904634673,0.10166906580036679,0.22734311912362157
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,refuse_both,85,example-testing,density,-0.0739097380310283,-0.1324330537621577,-0.01762629771009081
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,refuse_both,85,example-testing,density_nontest,-0.081403867885261,-0.13720330397114,-0.031330851062966875
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,refuse_both,85,example-testing,density_testlex,0.007494129854232696,-0.011764705882352941,0.026752965590818335
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,refuse_both,85,uncertainty-estimation,density,0.15542466222735501,0.01519564884905015,0.29682226815912777
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,refuse_both,85,uncertainty-estimation,density_nontest,-0.04934923820023973,-0.19059341478407146,0.09524446284243229
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,refuse_both,85,uncertainty-estimation,density_testlex,0.2047739004275948,0.1389640283383854,0.2685391040999412
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,refuse_both,85,backtracking,density,-0.02285982826311727,-0.07668592191052677,0.032475351470845175
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,refuse_both,85,backtracking,density_nontest,-0.03675242117372395,-0.09063373721218122,0.01903134507560291
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,refuse_both,85,backtracking,density_testlex,0.013892592910606683,0.0,0.03252901883829116
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,same,114,initializing,density,-0.07074286359247459,-0.1375084313323179,-0.003158023896666782
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,same,114,initializing,density_nontest,-0.07432856511867954,-0.14127865961644517,-0.006727900796155637
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,same,114,initializing,density_testlex,0.0035857015262049582,0.0,0.009290226681531028
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,same,114,deduction,density,-0.3843230889990782,-0.6059646653019382,-0.14077980126114661
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,same,114,deduction,density_nontest,-0.5949532898856268,-0.8163040772296655,-0.3533518083582079
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,same,114,deduction,density_testlex,0.21063020088654866,0.13901807287261972,0.2806800670747159
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,same,114,adding-knowledge,density,0.10394917828590126,-0.05772976405426825,0.263534840841297
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,same,114,adding-knowledge,density_nontest,-0.026562227623893955,-0.18280590776999692,0.1368994393007098
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,same,114,adding-knowledge,density_testlex,0.13051140590979518,0.08260503697617254,0.17992921899494813
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,same,114,example-testing,density,-0.0433229652960853,-0.09819471192146118,0.011412419468925879
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,same,114,example-testing,density_nontest,-0.05641593789097452,-0.10992713778452066,-0.005550728181864076
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,same,114,example-testing,density_testlex,0.013092972594889219,-0.0021788227054129012,0.029394415994401003
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,same,114,uncertainty-estimation,density,0.0942919107575847,-0.029586827845187066,0.20657418889326176
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,same,114,uncertainty-estimation,density_nontest,-0.06913104016045979,-0.18852896192362045,0.04198479676462626
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,same,114,uncertainty-estimation,density_testlex,0.1634229509180445,0.11266168743203746,0.21193624066227426
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,same,114,backtracking,density,-0.023973801449833885,-0.07155205788761908,0.024193003185725207
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,same,114,backtracking,density_nontest,-0.03433231370774237,-0.08187835118952179,0.011435047736285368
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,same,114,backtracking,density_testlex,0.010358512257908488,0.0,0.023358797046508596
deepseek_qwen,actions,fake,alpha0.25,-0.25,gained,5,initializing,density,-0.09294159850512958,-0.4524230203374448,0.1508322235096793
deepseek_qwen,actions,fake,alpha0.25,-0.25,gained,5,initializing,density_nontest,-0.09294159850512958,-0.4524230203374448,0.1508322235096793
deepseek_qwen,actions,fake,alpha0.25,-0.25,gained,5,initializing,density_testlex,0.0,0.0,0.0
deepseek_qwen,actions,fake,alpha0.25,-0.25,gained,5,deduction,density,-0.03215261921907011,-0.8778780769634699,0.6804910288035748
deepseek_qwen,actions,fake,alpha0.25,-0.25,gained,5,deduction,density_nontest,0.024665562599111634,-0.827739599314923,0.7373092106217565
deepseek_qwen,actions,fake,alpha0.25,-0.25,gained,5,deduction,density_testlex,-0.05681818181818182,-0.17045454545454547,0.0
deepseek_qwen,actions,fake,alpha0.25,-0.25,gained,5,adding-knowledge,density,-0.3476683450586048,-1.4483008241832915,0.7911549152595653
deepseek_qwen,actions,fake,alpha0.25,-0.25,gained,5,adding-knowledge,density_nontest,-0.3476683450586048,-1.4483008241832915,0.7911549152595653
deepseek_qwen,actions,fake,alpha0.25,-0.25,gained,5,adding-knowledge,density_testlex,0.0,0.0,0.0
deepseek_qwen,actions,fake,alpha0.25,-0.25,gained,5,example-testing,density,0.10330667440826824,-0.20374054339409828,0.5462966417413272
deepseek_qwen,actions,fake,alpha0.25,-0.25,gained,5,example-testing,density_nontest,0.10330667440826824,-0.20374054339409828,0.5462966417413272
deepseek_qwen,actions,fake,alpha0.25,-0.25,gained,5,example-testing,density_testlex,0.0,0.0,0.0
