model,family,framing,arm,signed_alpha,n,metric,behaviour,mean,ci_lo,ci_hi
deepseek_qwen,actions,real,alpha0.0,0.0,149,executed,,0.12080536912751678,0.06711409395973154,0.174496644295302
deepseek_qwen,actions,real,alpha0.05_aware,0.05,148,density,initializing,0.5813142724105389,0.53984935344236,0.6261301184069872
deepseek_qwen,actions,real,alpha0.05_aware,0.05,148,density,deduction,4.0040396536379586,3.862543479714534,4.1418879869828
deepseek_qwen,actions,real,alpha0.05_aware,0.05,148,density,adding-knowledge,1.6906656376381233,1.5800891487573645,1.8014335472307461
deepseek_qwen,actions,real,alpha0.05_aware,0.05,148,density,example-testing,0.06738418061521068,0.040588279837754045,0.09724318666419257
deepseek_qwen,actions,real,alpha0.05_aware,0.05,148,density,uncertainty-estimation,0.7855850035046485,0.702991064696587,0.8697043413678066
deepseek_qwen,actions,real,alpha0.05_aware,0.05,148,density,backtracking,0.1176940143313449,0.08458723983346575,0.155912383771722
deepseek_qwen,actions,real,alpha0.05_aware,0.05,148,coverage,initializing,0.12308124447855134,0.11655177824765196,0.13022452569627777
deepseek_qwen,actions,real,alpha0.05_aware,0.05,148,coverage,deduction,0.5223692768781371,0.5063239195718632,0.5377810632250632
deepseek_qwen,actions,real,alpha0.05_aware,0.05,148,coverage,adding-knowledge,0.241349485161418,0.22572676712426565,0.256898210216254
deepseek_qwen,actions,real,alpha0.05_aware,0.05,148,coverage,example-testing,0.010185060157568211,0.005896189062476487,0.01491067657948686
deepseek_qwen,actions,real,alpha0.05_aware,0.05,148,coverage,uncertainty-estimation,0.08705807720259119,0.07618114222809517,0.09864558707343837
deepseek_qwen,actions,real,alpha0.05_aware,0.05,148,coverage,backtracking,0.015956856121734125,0.011094847469818859,0.02146748348200253
deepseek_qwen,actions,real,alpha0.05_aware,0.05,148,any,initializing,1.0,1.0,1.0
deepseek_qwen,actions,real,alpha0.05_aware,0.05,148,any,deduction,1.0,1.0,1.0
deepseek_qwen,actions,real,alpha0.05_aware,0.05,148,any,adding-knowledge,1.0,1.0,1.0
deepseek_qwen,actions,real,alpha0.05_aware,0.05,148,any,example-testing,0.13513513513513514,0.08108108108108109,0.1891891891891892
deepseek_qwen,actions,real,alpha0.05_aware,0.05,148,any,uncertainty-estimation,0.8716216216216216,0.8108108108108109,0.919087837837837
