model,family,framing,arm,signed_alpha,n_pairs,metric,behaviour,base_mean,arm_mean,delta,ci_lo,ci_hi,p_paired_t,p_wilcoxon
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,density_testlex,deduction,0.24446384768271992,0.1978844922974389,-0.046579355385281,-0.13667152239470082,0.0426600099976326,0.31506026340435045,0.1390730930157936
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,density_testlex,adding-knowledge,0.10654117062270863,0.08807451614291546,-0.018466654479793166,-0.07781214525838809,0.04576129434413422,0.5601882359693799,0.6464373976923525
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,density_testlex,example-testing,0.03741437766807772,0.003207891690498917,-0.034206485977578804,-0.06276412425604559,-0.012165412967577406,0.010528092126982861,0.0078125
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,density_testlex,uncertainty-estimation,0.08113290678209761,0.01713400868811003,-0.06399889809398758,-0.10276135080819791,-0.026839279744681997,0.001435089704639673,0.0023250579833984375
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,density_testlex,backtracking,0.0332215537733479,0.027408307561477826,-0.005813246211870074,-0.034328375542874254,0.023108499205515064,0.6863768783813922,0.71484375
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,density_nontest,initializing,0.42218557050560107,0.45139606245968367,0.029210491954082547,-0.09150348232914386,0.14868856891942908,0.6339711905601726,0.7058772594589169
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,density_nontest,deduction,3.497809719745406,3.85165242519061,0.35384270544520374,0.0009096410779818848,0.6785448603100533,0.046866118044420174,0.05285525991418617
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,density_nontest,adding-knowledge,1.2179848417950199,1.1741351630397643,-0.04384967875525563,-0.2855058616455375,0.20607806243602284,0.7363362150962802,0.29413754827250804
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,density_nontest,example-testing,0.5762888759412419,0.32887576043816547,-0.24741311550307635,-0.4042089561575033,-0.0933038300884814,0.002378582645865809,0.006804347841601172
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,density_nontest,uncertainty-estimation,0.45578332266339144,0.2946640634208237,-0.16111925924256773,-0.280209624246161,-0.050222969958531365,0.008655239836661797,0.008145060281713369
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,density_nontest,backtracking,0.13706592803705814,0.14404075571504246,0.006974827677984329,-0.05195577154138184,0.07119253865455726,0.8276703431938898,0.8630762992361269
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,words,,513.2833333333333,471.31666666666666,-41.96666666666667,-94.32541666666667,10.124166666666627,0.12639495220956048,0.057522505848066126
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,n_spans_counted,,35.25,30.933333333333334,-4.316666666666666,-8.100416666666666,-0.6495833333333356,0.029627204233458184,0.019447932709315306
qwen3_4b,followup_triggers,hypothetical,unc_nontest_pos,0.25,60,density,initializing,0.44398321558747006,0.33993982173811044,-0.10404339384935962,-0.17381216384792925,-0.032211867425701445,0.0061370648700998206,0.006171709783104297
qwen3_4b,followup_triggers,hypothetical,unc_nontest_pos,0.25,60,density,deduction,3.7422735674281262,3.776516490959327,0.03424292353120118,-0.34191233268181265,0.4051167234846351,0.8590847195441317,0.8597609516621914
qwen3_4b,followup_triggers,hypothetical,unc_nontest_pos,0.25,60,density,adding-knowledge,1.3245260124177285,0.8901944521595875,-0.4343315602581413,-0.6763175184200053,-0.17145109588189675,0.0016550480405638683,0.0012303735131097557
qwen3_4b,followup_triggers,hypothetical,unc_nontest_pos,0.25,60,density,example-testing,0.6137032536093195,0.6965704737735738,0.08286722016425424,-0.09738633888773515,0.2768214931756141,0.380917408438373,0.6127392711353463
qwen3_4b,followup_triggers,hypothetical,unc_nontest_pos,0.25,60,density,uncertainty-estimation,0.5369162294454891,0.8667435165512466,0.3298272871057576,0.15281302327753485,0.5062697293025552,0.0006272142408720033,0.004505531730484411
qwen3_4b,followup_triggers,hypothetical,unc_nontest_pos,0.25,60,density,backtracking,0.17028748181040604,0.11995061545963827,-0.05033686635076778,-0.12258574973807682,0.04652143454667821,0.24876972876553813,0.007309416054072529
qwen3_4b,followup_triggers,hypothetical,unc_nontest_pos,0.25,60,coverage,initializing,0.09250519899682556,0.0729231183689771,-0.019582080627848476,-0.029356232570370084,-0.009512666382746936,0.00038374854747774977,0.0007882418974464603
qwen3_4b,followup_triggers,hypothetical,unc_nontest_pos,0.25,60,coverage,deduction,0.5206158801561669,0.5427633675365595,0.022147487380392628,-0.03176692507450525,0.07384177345087702,0.40498008292178067,0.3498276834612277
